parcels,roiNames,isLeft
1,left_caudal_anterior_cingulate,1
2,left_caudal_middle_frontal,1
3,left_cuneus,1
4,left_entorhinal,1
5,left_fusiform,1
6,left_inferior_parietal,1
7,left_inferior_temporal,1
8,left_isthmus_cingulate,1
9,left_lateral_occipital,1
10,left_lateral_orbitofrontal,1
11,left_lingual,1
12,left_medial_orbitofrontal,1
13,left_middle_temporal,1
14,left_parahippocampal,1
15,left_paracentral,1
16,left_pars_opercularis,1
17,left_pars_orbitalis,1
18,left_pars_triangularis,1
19,left_pericalcarine,1
20,left_postcentral,1
21,left_posterior_cingulate,1
22,left_precentral,1
23,left_precuneus,1
24,left_rostral_anterior_cingulate,1
25,left_rostral_middle_frontal,1
26,left_superior_frontal,1
27,left_superior_parietal,1
28,left_superior_temporal,1
29,left_supramarginal,1
30,left_transverse_temporal,1
31,left_insula,1
32,right_superior_temporal,0
33,right_caudal_anterior_cingulate,0
34,right_caudal_middle_frontal,0
35,right_cuneus,0
36,right_entorhinal,0
37,right_fusiform,0
38,right_inferior_parietal,0
39,right_inferior_temporal,0
40,right_isthmus_cingulate,0
41,right_lateral_occipital,0
42,right_lateral_orbitofrontal,0
43,right_lingual,0
44,right_medial_orbitofrontal,0
45,right_middle_temporal,0
46,right_parahippocampal,0
47,right_paracentral,0
48,right_pars_opercularis,0
49,right_pars_orbitalis,0
50,right_pars_triangularis,0
51,right_pericalcarine,0
52,right_postcentral,0
53,right_posterior_cingulate,0
54,right_precentral,0
55,right_precuneus,0
56,right_rostral_anterior_cingulate,0
57,right_rostral_middle_frontal,0
58,right_superior_frontal,0
59,right_superior_parietal,0
60,right_supramarginal,0
61,right_transverse_temporal,0
62,right_insula,0
63,left_thalamus_proper,1
64,left_caudate,1
65,left_putamen,1
66,left_pallidum,1
67,left_hippocampus,1
68,left_amygdala,1
69,left_accumbens_area,1
70,left_ventral_DC,1
71,left_vessel,1
72,right_thalamus_proper,0
73,right_caudate,0
74,right_putamen,0
75,right_pallidum,0
76,right_hippocampus,0
77,right_amygdala,0
78,right_accumbens_area,0
79,right_ventral_DC,0
80,right_vessel,0
